Recipe No,Ingredient
1,Vegetarian
1,Beans
1,Noodles
2,Chicken
2,Noodles
2,Eggs
3,Potatoes
3,Milk
3,Cheese
4,Potatoes
5,Bacon
6,Turkey
7,Chicken
7,Rice
8,Beef
8,Potatoes
9,
10,Chicken
11,Pork
11,Potatoes
12,Beef
12,Noodles
13,Chicken
14,Chicken
15,Chicken
16,Sausage
16,Noodles
17,Beef
17,Noodles
18,Beans
18,Cheese
18,Potatoes
19,Chicken
19,Cheese
20,Chicken
20,Rice
21,
22,Eggs
23,Milk
24,
25,
26,
27,Eggs
27,Milk
28,Eggs
28,Milk
29,Milk
30,Noodles
30,Milk
30,Cheese
31,Noodles
31,Marinara Sauce
31,Cheese
31,Sausage
32,Potatoes
32,Bacon
32,Cheese
32,Eggs
33,Milk
33,Eggs
34,Eggs
35,Chicken
36,Noodles
36,Chicken
37,Noodles
37,Ham
38,Sausage
38,Beans
38,Rice
39,Chicken
39,Eggs
39,Rice
40,Pork
41,Beef
41,Rice
41,Beans
42,Beef
43,Beef
43,Noodles
43,Eggs
44,Sausage
44,Noodles
44,Cheese
45,Chicken
45,Rice
46,Sausage
46,Cheese
47,
48,Noodles
48,Marinara Sauce
49,Rice
49,Vegetarian
49,Beans
49,Eggs
50,Vegetarian
50,Potatoes
51,Vegetarian
52,Milk
52,Eggs
52,Corn Meal
53,Sausage
53,Noodles
54,Kielbasa
54,Noodles
55,Chicken
56,
57,
58,Beets
58,Breadcrumbs
59,Turkey
59,Noodles
60,Potatoes
61,Eggs
61,Milk
62,Milk
63,Milk
64,Turkey
65,Lentils
65,Vegetarian
65,Carrots
65,Onion
66,Buckwheat
66,Vegetarian
66,Carrots
66,Onion
67,Rice
67,Lentils
67,Onion
68,Lentils
68,Onion
68,Vegetarian
69,Potatoes
69,Chicken
69,Carrots
69,Onion
70,Lentils
70,Rice
70,Onion
71,Beets
71,Buckwheat
72,Potatoes
72,Lentils
73,Potatoes
73,Ham
73,Onion
73,Milk
74,Potatoes
75,Lentils
75,Rice
76,Buckwheat
76,Carrots
76,Onion
77,Buckwheat
77,Carrots
77,Chicken
77,Onion
78,Carrots
78,Noodles
79,Potatoes
79,Bacon
80,Eggs
80,Flour
80,Yeast
81,Lentils
82,Lentils
82,Carrots
82,Onion
82,Peas
82,Potatoes
83,Chicken
83,Rice
